"","county","hrr","cntyname","hrrname","pop10","afact","county.y","state","cases","deaths","countypop","hrrpop","countycaserate","countydeathrate","countycaserate100k","countydeathrate100k"
"1","29037","268","Cass MO","MO- KANSAS CITY",99478,0.0916934971706991,"Cass","MO",264,3,1084897,2481936,0.000243341072931347,2.76523946512895e-06,24.3341072931347,0.276523946512895
"2","29047","268","Clay MO","MO- KANSAS CITY",221939,0.204571493883751,"Clay","MO",264,3,1084897,2481936,0.000243341072931347,2.76523946512895e-06,24.3341072931347,0.276523946512895
"3","29095","268","Jackson MO","MO- KANSAS CITY",674158,0.6214027691108,"Jackson","MO",264,3,1084897,2481936,0.000243341072931347,2.76523946512895e-06,24.3341072931347,0.276523946512895
"4","29165","268","Platte MO","MO- KANSAS CITY",89322,0.0823322398347493,"Platte","MO",264,3,1084897,2481936,0.000243341072931347,2.76523946512895e-06,24.3341072931347,0.276523946512895
"5","36005","297","Bronx NY","NY- BRONX",1295933,0.158521335371547,"0","0",47440,1374,8175133,1398749,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"6","36005","303","Bronx NY","NY- NEW YORK",84706,0.0103614216429262,"0","0",47440,1374,8175133,4981418,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"7","36005","308","Bronx NY","NY- WHITE PLAINS",2012,0.000246112203923777,"0","0",47440,1374,8175133,1135283,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"8","36005","301","Bronx NY","NY- EAST LONG ISLAND",2457,0.000300545569105726,"0","0",47440,1374,8175133,4728414,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"9","36047","301","Kings NY","NY- EAST LONG ISLAND",4467,0.000546413128691607,"0","0",47440,1374,8175133,4728414,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"10","36047","303","Kings NY","NY- NEW YORK",2500233,0.305833923435863,"0","0",47440,1374,8175133,4981418,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"11","36061","303","New York NY","NY- NEW YORK",1585871,0.19398718039205,"0","0",47440,1374,8175133,4981418,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"12","36061","289","New York NY","NJ- NEWARK",2,2.44644337896399e-07,"0","0",47440,1374,8175133,1534797,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"13","36081","301","Queens NY","NY- EAST LONG ISLAND",1938545,0.237127029003687,"0","0",47440,1374,8175133,4728414,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"14","36081","303","Queens NY","NY- NEW YORK",292177,0.0357397243567781,"0","0",47440,1374,8175133,4981418,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"15","36085","303","Richmond NY","NY- NEW YORK",468730,0.0573360702510895,"0","0",47440,1374,8175133,4981418,0.00580296369490258,0.000168070660134826,580.296369490258,16.8070660134826
"16","01001","007","Autauga AL","AL- MONTGOMERY",51669,0.947,"Autauga","AL",10,0,54571,473121,0.000183247512415019,0,18.3247512415019,0
"17","01001","001","Autauga AL","AL- BIRMINGHAM",2902,0.053,"Autauga","AL",10,0,54571,2276677,0.000183247512415019,0,18.3247512415019,0
"18","01003","134","Baldwin AL","FL- PENSACOLA",7211,0.04,"Baldwin","AL",23,1,182265,764431,0.000126189888349381,5.48651688475571e-06,12.6189888349381,0.548651688475571
"19","01003","006","Baldwin AL","AL- MOBILE",175054,0.96,"Baldwin","AL",23,1,182265,826053,0.000126189888349381,5.48651688475571e-06,12.6189888349381,0.548651688475571
"20","01005","002","Barbour AL","AL- DOTHAN",27457,1,"0","0",0,0,27457,375802,0,0,0,0
"21","01007","001","Bibb AL","AL- BIRMINGHAM",11111,0.485,"Bibb","AL",3,0,22915,2276677,0.00013091861226271,0,13.091861226271,0
"22","01007","009","Bibb AL","AL- TUSCALOOSA",11804,0.515,"Bibb","AL",3,0,22915,266186,0.00013091861226271,0,13.091861226271,0
"23","01009","001","Blount AL","AL- BIRMINGHAM",57322,1,"Blount","AL",5,0,57322,2276677,8.72265447821081e-05,0,8.72265447821081,0
"24","01011","007","Bullock AL","AL- MONTGOMERY",10914,1,"Bullock","AL",3,0,10914,473121,0.000274876305662452,0,27.4876305662452,0
"25","01013","007","Butler AL","AL- MONTGOMERY",20947,1,"Butler","AL",1,0,20947,473121,4.77395331073662e-05,0,4.77395331073662,0
"26","01015","001","Calhoun AL","AL- BIRMINGHAM",118572,1,"Calhoun","AL",11,0,118572,2276677,9.2770637249941e-05,0,9.2770637249941,0
"27","01017","144","Chambers AL","GA- ATLANTA",2537,0.074,"Chambers","AL",45,4,34215,6243061,0.00131521262604121,0.000116907788981441,131.521262604121,11.6907788981441
"28","01017","001","Chambers AL","AL- BIRMINGHAM",31678,0.926,"Chambers","AL",45,4,34215,2276677,0.00131521262604121,0.000116907788981441,131.521262604121,11.6907788981441
"29","01019","148","Cherokee AL","GA- ROME",25820,0.993,"Cherokee","AL",2,0,25989,289908,7.69556350763785e-05,0,7.69556350763785,0
"30","01019","001","Cherokee AL","AL- BIRMINGHAM",169,0.007,"Cherokee","AL",2,0,25989,2276677,7.69556350763785e-05,0,7.69556350763785,0
"31","01021","001","Chilton AL","AL- BIRMINGHAM",38545,0.883,"Chilton","AL",13,0,43643,2276677,0.000297871365396513,0,29.7871365396513,0
"32","01021","007","Chilton AL","AL- MONTGOMERY",5098,0.117,"Chilton","AL",13,0,43643,473121,0.000297871365396513,0,29.7871365396513,0
"33","01023","260","Choctaw AL","MS- MERIDIAN",13859,1,"Choctaw","AL",4,0,13859,197862,0.000288621112634389,0,28.8621112634389,0
"34","01025","006","Clarke AL","AL- MOBILE",25833,1,"Clarke","AL",2,0,25833,826053,7.74203538110169e-05,0,7.74203538110169,0
"35","01027","001","Clay AL","AL- BIRMINGHAM",13932,1,"Clay","AL",3,0,13932,2276677,0.000215331610680448,0,21.5331610680448,0
"36","01029","144","Cleburne AL","GA- ATLANTA",4667,0.312,"Cleburne","AL",6,0,14972,6243061,0.000400748063051029,0,40.0748063051029,0
"37","01029","148","Cleburne AL","GA- ROME",351,0.023,"Cleburne","AL",6,0,14972,289908,0.000400748063051029,0,40.0748063051029,0
"38","01029","001","Cleburne AL","AL- BIRMINGHAM",9954,0.665,"Cleburne","AL",6,0,14972,2276677,0.000400748063051029,0,40.0748063051029,0
"39","01031","002","Coffee AL","AL- DOTHAN",49948,1,"0","0",0,0,49948,375802,0,0,0,0
"40","01033","001","Colbert AL","AL- BIRMINGHAM",54428,1,"Colbert","AL",4,0,54428,2276677,7.34915852134931e-05,0,7.34915852134931,0
"41","01035","007","Conecuh AL","AL- MONTGOMERY",8127,0.614,"Conecuh","AL",1,0,13228,473121,7.55972180223768e-05,0,7.55972180223768,0
"42","01035","134","Conecuh AL","FL- PENSACOLA",3253,0.246,"Conecuh","AL",1,0,13228,764431,7.55972180223768e-05,0,7.55972180223768,0
"43","01035","006","Conecuh AL","AL- MOBILE",1848,0.14,"Conecuh","AL",1,0,13228,826053,7.55972180223768e-05,0,7.55972180223768,0
"44","01037","007","Coosa AL","AL- MONTGOMERY",1509,0.131,"Coosa","AL",4,0,11539,473121,0.000346650489643817,0,34.6650489643817,0
"45","01037","001","Coosa AL","AL- BIRMINGHAM",10030,0.869,"Coosa","AL",4,0,11539,2276677,0.000346650489643817,0,34.6650489643817,0
"46","01039","002","Covington AL","AL- DOTHAN",9607,0.254,"Covington","AL",3,0,37765,375802,7.94386336555011e-05,0,7.94386336555011,0
"47","01039","134","Covington AL","FL- PENSACOLA",28158,0.746,"Covington","AL",3,0,37765,764431,7.94386336555011e-05,0,7.94386336555011,0
"48","01041","134","Crenshaw AL","FL- PENSACOLA",620,0.045,"Crenshaw","AL",1,0,13906,764431,7.19114051488566e-05,0,7.19114051488566,0
"49","01041","007","Crenshaw AL","AL- MONTGOMERY",13286,0.955,"Crenshaw","AL",1,0,13906,473121,7.19114051488566e-05,0,7.19114051488566,0
"50","01043","001","Cullman AL","AL- BIRMINGHAM",77622,0.965,"Cullman","AL",9,1,80406,2276677,0.000111931945377211,1.24368828196901e-05,11.1931945377211,1.24368828196901
"51","01043","005","Cullman AL","AL- HUNTSVILLE",2784,0.035,"Cullman","AL",9,1,80406,626099,0.000111931945377211,1.24368828196901e-05,11.1931945377211,1.24368828196901
"52","01045","002","Dale AL","AL- DOTHAN",50251,1,"Dale","AL",1,0,50251,375802,1.99001014905176e-05,0,1.99001014905176,0
"53","01047","001","Dallas AL","AL- BIRMINGHAM",43820,1,"Dallas","AL",3,0,43820,2276677,6.84618895481515e-05,0,6.84618895481515,0
"54","01049","373","DeKalb AL","TN- CHATTANOOGA",5937,0.083,"DeKalb","AL",6,0,71109,700134,8.43775049571784e-05,0,8.43775049571784,0
"55","01049","001","DeKalb AL","AL- BIRMINGHAM",65172,0.917,"DeKalb","AL",6,0,71109,2276677,8.43775049571784e-05,0,8.43775049571784,0
"56","01051","001","Elmore AL","AL- BIRMINGHAM",265,0.003,"Elmore","AL",15,0,79303,2276677,0.000189147951527685,0,18.9147951527685,0
"57","01051","007","Elmore AL","AL- MONTGOMERY",79038,0.997,"Elmore","AL",15,0,79303,473121,0.000189147951527685,0,18.9147951527685,0
"58","01053","134","Escambia AL","FL- PENSACOLA",38319,1,"Escambia","AL",1,0,38319,764431,2.60967144236541e-05,0,2.60967144236541,0
"59","01055","001","Etowah AL","AL- BIRMINGHAM",104430,1,"Etowah","AL",10,1,104430,2276677,9.57579239682084e-05,9.57579239682084e-06,9.57579239682084,0.957579239682084
"60","01057","009","Fayette AL","AL- TUSCALOOSA",15002,0.87,"Fayette","AL",1,0,17241,266186,5.80012760280726e-05,0,5.80012760280726,0
"61","01057","001","Fayette AL","AL- BIRMINGHAM",2239,0.13,"Fayette","AL",1,0,17241,2276677,5.80012760280726e-05,0,5.80012760280726,0
"62","01059","262","Franklin AL","MS- TUPELO",676,0.021,"Franklin","AL",3,0,31704,396259,9.46252838758516e-05,0,9.46252838758516,0
"63","01059","001","Franklin AL","AL- BIRMINGHAM",31028,0.979,"Franklin","AL",3,0,31704,2276677,9.46252838758516e-05,0,9.46252838758516,0
"64","01061","002","Geneva AL","AL- DOTHAN",26790,1,"0","0",0,0,26790,375802,0,0,0,0
"65","01063","001","Greene AL","AL- BIRMINGHAM",1955,0.216,"Greene","AL",4,0,9045,2276677,0.000442233278054174,0,44.2233278054174,0
"66","01063","009","Greene AL","AL- TUSCALOOSA",7090,0.784,"Greene","AL",4,0,9045,266186,0.000442233278054174,0,44.2233278054174,0
"67","01065","009","Hale AL","AL- TUSCALOOSA",15131,0.96,"Hale","AL",1,0,15760,266186,6.34517766497462e-05,0,6.34517766497462,0
"68","01065","001","Hale AL","AL- BIRMINGHAM",629,0.04,"Hale","AL",1,0,15760,2276677,6.34517766497462e-05,0,6.34517766497462,0
"69","01067","002","Henry AL","AL- DOTHAN",17302,1,"0","0",0,0,17302,375802,0,0,0,0
"70","01069","002","Houston AL","AL- DOTHAN",101547,1,"Houston","AL",9,1,101547,375802,8.86289107506869e-05,9.84765675007632e-06,8.86289107506869,0.984765675007632
"71","01071","373","Jackson AL","TN- CHATTANOOGA",15514,0.291,"Jackson","AL",8,1,53227,700134,0.000150299659947019,1.87874574933774e-05,15.0299659947019,1.87874574933774
"72","01071","005","Jackson AL","AL- HUNTSVILLE",37713,0.709,"Jackson","AL",8,1,53227,626099,0.000150299659947019,1.87874574933774e-05,15.0299659947019,1.87874574933774
"73","01073","001","Jefferson AL","AL- BIRMINGHAM",658466,1,"Jefferson","AL",305,4,658466,2276677,0.000463197796089699,6.07472519461901e-06,46.3197796089699,0.607472519461901
"74","01075","262","Lamar AL","MS- TUPELO",2151,0.148,"Lamar","AL",1,0,14564,396259,6.8662455369404e-05,0,6.8662455369404,0
"75","01075","001","Lamar AL","AL- BIRMINGHAM",808,0.055,"Lamar","AL",1,0,14564,2276677,6.8662455369404e-05,0,6.8662455369404,0
"76","01075","009","Lamar AL","AL- TUSCALOOSA",11605,0.797,"Lamar","AL",1,0,14564,266186,6.8662455369404e-05,0,6.8662455369404,0
"77","01077","001","Lauderdale AL","AL- BIRMINGHAM",92709,1,"Lauderdale","AL",12,1,92709,2276677,0.000129437271462318,1.07864392885265e-05,12.9437271462318,1.07864392885265
"78","01079","005","Lawrence AL","AL- HUNTSVILLE",4028,0.117,"Lawrence","AL",3,0,34339,626099,8.73642214391799e-05,0,8.73642214391799,0
"79","01079","001","Lawrence AL","AL- BIRMINGHAM",30311,0.883,"Lawrence","AL",3,0,34339,2276677,8.73642214391799e-05,0,8.73642214391799,0
