"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date"
"1","268","MO- KANSAS CITY",2481936,0,0,0,0,2020-01-21
"2","297","NY- BRONX",1398749,0,0,0,0,2020-01-21
"3","301","NY- EAST LONG ISLAND",4728414,0,0,0,0,2020-01-21
"4","303","NY- NEW YORK",4981418,0,0,0,0,2020-01-21
"5","308","NY- WHITE PLAINS",1135283,0,0,0,0,2020-01-21
"6","289","NJ- NEWARK",1534797,0,0,0,0,2020-01-21
"7","001","AL- BIRMINGHAM",2276677,0,0,0,0,2020-01-21
"8","007","AL- MONTGOMERY",473121,0,0,0,0,2020-01-21
"9","006","AL- MOBILE",826053,0,0,0,0,2020-01-21
"10","134","FL- PENSACOLA",764431,0,0,0,0,2020-01-21
"11","002","AL- DOTHAN",375802,0,0,0,0,2020-01-21
"12","009","AL- TUSCALOOSA",266186,0,0,0,0,2020-01-21
"13","144","GA- ATLANTA",6243061,0,0,0,0,2020-01-21
"14","148","GA- ROME",289908,0,0,0,0,2020-01-21
"15","260","MS- MERIDIAN",197862,0,0,0,0,2020-01-21
"16","005","AL- HUNTSVILLE",626099,0,0,0,0,2020-01-21
"17","373","TN- CHATTANOOGA",700134,0,0,0,0,2020-01-21
"18","262","MS- TUPELO",396259,0,0,0,0,2020-01-21
"19","146","GA- COLUMBUS",349248,0,0,0,0,2020-01-21
"20","010","AK- ANCHORAGE",710231,0,0,0,0,2020-01-21
"21","012","AZ- PHOENIX",3373124,0,0,0,0,2020-01-21
"22","293","NM- ALBUQUERQUE",1729568,0,0,0,0,2020-01-21
"23","015","AZ- TUCSON",1221007,0,0,0,0,2020-01-21
"24","423","UT- SALT LAKE CITY",2034274,0,0,0,0,2020-01-21
"25","011","AZ- MESA",1384107,0,0,0,0,2020-01-21
"26","014","AZ- SUN CITY",298424,0,0,0,0,2020-01-21
"27","279","NV- LAS VEGAS",2064056,0,0,0,0,2020-01-21
"28","019","AR- LITTLE ROCK",1557326,0,0,0,0,2020-01-21
"29","270","MO- SPRINGFIELD",865127,0,0,0,0,2020-01-21
"30","021","AR- SPRINGDALE",535647,0,0,0,0,2020-01-21
"31","267","MO- JOPLIN",375895,0,0,0,0,2020-01-21
"32","018","AR- JONESBORO",238432,0,0,0,0,2020-01-21
"33","273","MO- ST LOUIS",3427241,0,0,0,0,2020-01-21
"34","219","LA- SHREVEPORT",694588,0,0,0,0,2020-01-21
"35","016","AR- FORT SMITH",376522,0,0,0,0,2020-01-21
"36","379","TN- MEMPHIS",1816203,0,0,0,0,2020-01-21
"37","022","AR- TEXARKANA",263672,0,0,0,0,2020-01-21
"38","033","CA- CONTRA COSTA CO.",1042954,0,0,0,0,2020-01-21
"39","065","CA- ALAMEDA CO.",1538029,0,0,0,0,2020-01-21
"40","077","CA- SACRAMENTO",2589156,0,0,0,0,2020-01-21
"41","091","CA- STOCKTON",596968,0,0,0,0,2020-01-21
"42","280","NV- RENO",758460,0,0,0,0,2020-01-21
"43","031","CA- CHICO",300672,0,0,0,0,2020-01-21
"44","058","CA- MODESTO",901093,0,0,0,0,2020-01-21
"45","081","CA- SAN FRANCISCO",1438721,0,0,0,0,2020-01-21
"46","343","OR- MEDFORD",434585,0,0,0,0,2020-01-21
"47","043","CA- FRESNO",1244650,0,0,0,0,2020-01-21
"48","062","CA- NAPA",274114,0,0,0,0,2020-01-21
"49","073","CA- REDDING",341901,0,0,0,0,2020-01-21
"50","080","CA- SAN DIEGO",3720182,0,0,0,0,2020-01-21
"51","079","CA- SAN BERNARDINO",3116736,0,0,0,0,2020-01-21
"52","025","CA- BAKERSFIELD",1161370,0,0,0,0,2020-01-21
"53","056","CA- LOS ANGELES",9867438,0,0,0,0,2020-01-21
"54","023","CA- ORANGE CO.",3304821,0,0,0,0,2020-01-21
"55","096","CA- VENTURA",857707,0,0,0,0,2020-01-21
"56","089","CA- SANTA ROSA",489750,0,0,0,0,2020-01-21
"57","078","CA- SALINAS",396679,0,0,0,0,2020-01-21
"58","083","CA- SAN LUIS OBISPO",251067,0,0,0,0,2020-01-21
"59","087","CA- SANTA CRUZ",275890,0,0,0,0,2020-01-21
"60","069","CA- PALM SPR/RANCHO MIR.",342069,0,0,0,0,2020-01-21
"61","082","CA- SAN JOSE",1761797,0,0,0,0,2020-01-21
"62","086","CA- SANTA BARBARA",443159,0,0,0,0,2020-01-21
"63","085","CA- SAN MATEO CO.",797525,0,0,0,0,2020-01-21
"64","103","CO- DENVER",2853117,0,0,0,0,2020-01-21
"65","106","CO- GREELEY",357920,0,0,0,0,2020-01-21
"66","102","CO- COLORADO SPRINGS",829912,0,0,0,0,2020-01-21
"67","101","CO- BOULDER",308518,0,0,0,0,2020-01-21
"68","107","CO- PUEBLO",173208,0,0,0,0,2020-01-21
"69","105","CO- GRAND JUNCTION",337595,0,0,0,0,2020-01-21
"70","104","CO- FORT COLLINS",335380,0,0,0,0,2020-01-21
"71","201","KS- WICHITA",1276737,0,0,0,0,2020-01-21
