"","hrr","hrrname","hrrpop","hrrcaserate","hrrdeathrate","hrrcaserate100k","hrrdeathrate100k","date","hrrcases","hrrdeaths","casegrowthrate","deathgrowthrate"
"1","268","MO- KANSAS CITY",2481936,0,0,0,0,2020-01-21,0,0,1.10725799163847,1.21080975238244
"2","297","NY- BRONX",1398749,0,0,0,0,2020-01-21,0,0,1.08523059493817,1.3019303272484
"3","301","NY- EAST LONG ISLAND",4728414,0,0,0,0,2020-01-21,0,0,1.10534512373017,1.41518249975424
"4","303","NY- NEW YORK",4981418,0,0,0,0,2020-01-21,0,0,1.08834899044328,1.29266685954326
"5","308","NY- WHITE PLAINS",1135283,0,0,0,0,2020-01-21,0,0,1.07435943373227,1.64900483034406
"6","289","NJ- NEWARK",1534797,0,0,0,0,2020-01-21,0,0,1.17129222773194,1.29097667428866
"7","001","AL- BIRMINGHAM",2276677,0,0,0,0,2020-01-21,0,0,1.11387034804387,1.14564826862096
"8","007","AL- MONTGOMERY",473121,0,0,0,0,2020-01-21,0,0,1.09710249020138,1.53141975626103
"9","006","AL- MOBILE",826053,0,0,0,0,2020-01-21,0,0,1.25309969865573,1.19812765926279
"10","134","FL- PENSACOLA",764431,0,0,0,0,2020-01-21,0,0,1.11771704416426,1.18799693247262
"11","002","AL- DOTHAN",375802,0,0,0,0,2020-01-21,0,0,1.15663325703757,1.42857142857143
"12","009","AL- TUSCALOOSA",266186,0,0,0,0,2020-01-21,0,0,1.17847243953408,NA
"13","144","GA- ATLANTA",6243061,0,0,0,0,2020-01-21,0,0,1.10062181114511,1.11549334256764
"14","148","GA- ROME",289908,0,0,0,0,2020-01-21,0,0,1.04564652343568,1.13617603958492
"15","260","MS- MERIDIAN",197862,0,0,0,0,2020-01-21,0,0,1.21377880071949,Inf
"16","005","AL- HUNTSVILLE",626099,0,0,0,0,2020-01-21,0,0,1.07994850190866,1.30368243198918
"17","373","TN- CHATTANOOGA",700134,0,0,0,0,2020-01-21,0,0,1.08067750656129,1.2005209785697
"18","262","MS- TUPELO",396259,0,0,0,0,2020-01-21,0,0,1.0962297811729,1.07071760892758
"19","146","GA- COLUMBUS",349248,0,0,0,0,2020-01-21,0,0,1.45412966839577,3.01154429667587
"20","010","AK- ANCHORAGE",710231,0,0,0,0,2020-01-21,0,0,1.08058608058608,1.21428571428571
"21","012","AZ- PHOENIX",3373124,0,0,0,0,2020-01-21,0,0,1.10334915888875,1.23447808120836
"22","293","NM- ALBUQUERQUE",1729568,0,0,0,0,2020-01-21,0,0,1.17896720039373,1.17299236330003
"23","015","AZ- TUCSON",1221007,0,0,0,0,2020-01-21,0,0,1.13378605628578,1.11928914875608
"24","423","UT- SALT LAKE CITY",2034274,0,0,0,0,2020-01-21,0,0,1.10095048240136,1.36502314985625
"25","011","AZ- MESA",1384107,0,0,0,0,2020-01-21,0,0,1.09618576647143,1.24103297246712
"26","014","AZ- SUN CITY",298424,0,0,0,0,2020-01-21,0,0,1.0944117041286,1.2044284348
"27","279","NV- LAS VEGAS",2064056,0,0,0,0,2020-01-21,0,0,1.09687967558548,1.13419786985621
"28","019","AR- LITTLE ROCK",1557326,0,0,0,0,2020-01-21,0,0,1.08040014058757,1.11759753310141
"29","270","MO- SPRINGFIELD",865127,0,0,0,0,2020-01-21,0,0,1.04602954396377,1.04024522319107
"30","021","AR- SPRINGDALE",535647,0,0,0,0,2020-01-21,0,0,1.04980538085238,Inf
"31","267","MO- JOPLIN",375895,0,0,0,0,2020-01-21,0,0,1.09888021599599,1.14426536510558
"32","018","AR- JONESBORO",238432,0,0,0,0,2020-01-21,0,0,1.14387852272614,Inf
"33","273","MO- ST LOUIS",3427241,0,0,0,0,2020-01-21,0,0,1.15026733712102,1.38614787902949
"34","219","LA- SHREVEPORT",694588,0,0,0,0,2020-01-21,0,0,1.20147303673601,1.29711366424212
"35","016","AR- FORT SMITH",376522,0,0,0,0,2020-01-21,0,0,1.09225335336223,1.26215609550319
"36","379","TN- MEMPHIS",1816203,0,0,0,0,2020-01-21,0,0,1.10107942327444,1.27961054414817
"37","022","AR- TEXARKANA",263672,0,0,0,0,2020-01-21,0,0,1.18843625627861,3023.66635158528
"38","033","CA- CONTRA COSTA CO.",1042954,0,0,0,0,2020-01-21,0,0,1.09380131700788,1.1180744714588
"39","065","CA- ALAMEDA CO.",1538029,0,0,0,0,2020-01-21,0,0,1.0930055191249,1.09542210036711
"40","077","CA- SACRAMENTO",2589156,0,0,0,0,2020-01-21,0,0,1.08539795184926,1.17785847690078
"41","091","CA- STOCKTON",596968,0,0,0,0,2020-01-21,0,0,1.05764418665216,1.03896619537508
"42","280","NV- RENO",758460,0,0,0,0,2020-01-21,0,0,1.09280573178705,1.165403893336
"43","031","CA- CHICO",300672,0,0,0,0,2020-01-21,0,0,1.04653263446517,Inf
"44","058","CA- MODESTO",901093,0,0,0,0,2020-01-21,0,0,1.1706949187814,1.73171308560813
"45","081","CA- SAN FRANCISCO",1438721,0,0,0,0,2020-01-21,0,0,1.07570503826522,1.10887018361919
"46","343","OR- MEDFORD",434585,0,0,0,0,2020-01-21,0,0,1.09809942166924,NA
"47","043","CA- FRESNO",1244650,0,0,0,0,2020-01-21,0,0,1.11406013867556,1.22581880723014
"48","062","CA- NAPA",274114,0,0,0,0,2020-01-21,0,0,1.08760409738486,1
"49","073","CA- REDDING",341901,0,0,0,0,2020-01-21,0,0,1.06649098505162,1.07142857142857
"50","080","CA- SAN DIEGO",3720182,0,0,0,0,2020-01-21,0,0,1.08360530758116,1.24106512172342
