"","county","hrr","cntyname","hrrname","pop10","afact","date","county.y","state","cases","deaths","countypop","hrrpop","countycaserate","countydeathrate","countycaserate100k","countydeathrate100k"
"1","29037","268","Cass MO","MO- KANSAS CITY",99478,"1",2020-04-05,"Cass","MO",385,6,1084897,2481936,0.000354872398024882,5.5304789302579e-06,35.4872398024882,0.55304789302579
"2","29047","268","Clay MO","MO- KANSAS CITY",221939,"1",2020-04-05,"Clay","MO",385,6,1084897,2481936,0.000354872398024882,5.5304789302579e-06,35.4872398024882,0.55304789302579
"3","29095","268","Jackson MO","MO- KANSAS CITY",674158,"1",2020-04-05,"Jackson","MO",385,6,1084897,2481936,0.000354872398024882,5.5304789302579e-06,35.4872398024882,0.55304789302579
"4","29165","268","Platte MO","MO- KANSAS CITY",89322,"1",2020-04-05,"Platte","MO",385,6,1084897,2481936,0.000354872398024882,5.5304789302579e-06,35.4872398024882,0.55304789302579
"5","36005","297","Bronx NY","NY- BRONX",1295933,"0.936",2020-04-05,"0","0",67552,2472,8175133,1398749,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"6","36005","308","Bronx NY","NY- WHITE PLAINS",2012,"0.001",2020-04-05,"0","0",67552,2472,8175133,1135283,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"7","36005","303","Bronx NY","NY- NEW YORK",84706,"0.061",2020-04-05,"0","0",67552,2472,8175133,4981418,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"8","36005","301","Bronx NY","NY- EAST LONG ISLAND",2457,"0.002",2020-04-05,"0","0",67552,2472,8175133,4728414,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"9","36047","303","Kings NY","NY- NEW YORK",2500233,"0.998",2020-04-05,"0","0",67552,2472,8175133,4981418,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"10","36047","301","Kings NY","NY- EAST LONG ISLAND",4467,"0.002",2020-04-05,"0","0",67552,2472,8175133,4728414,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"11","36061","289","New York NY","NJ- NEWARK",2,"0",2020-04-05,"0","0",67552,2472,8175133,1534797,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"12","36061","303","New York NY","NY- NEW YORK",1585871,"1",2020-04-05,"0","0",67552,2472,8175133,4981418,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"13","36081","301","Queens NY","NY- EAST LONG ISLAND",1938545,"0.869",2020-04-05,"0","0",67552,2472,8175133,4728414,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"14","36081","303","Queens NY","NY- NEW YORK",292177,"0.131",2020-04-05,"0","0",67552,2472,8175133,4981418,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"15","36085","303","Richmond NY","NY- NEW YORK",468730,"1",2020-04-05,"0","0",67552,2472,8175133,4981418,0.00826310715678876,0.000302380401639949,826.310715678876,30.2380401639949
"16","01001","001","Autauga AL","AL- BIRMINGHAM",2902,"0.053",2020-04-05,"Autauga","AL",12,0,54571,2276677,0.000219897014898023,0,21.9897014898023,0
"17","01001","007","Autauga AL","AL- MONTGOMERY",51669,"0.947",2020-04-05,"Autauga","AL",12,0,54571,473121,0.000219897014898023,0,21.9897014898023,0
"18","01003","006","Baldwin AL","AL- MOBILE",175054,"0.96",2020-04-05,"Baldwin","AL",34,1,182265,826053,0.000186541574081694,5.48651688475571e-06,18.6541574081694,0.548651688475571
"19","01003","134","Baldwin AL","FL- PENSACOLA",7211,"0.04",2020-04-05,"Baldwin","AL",34,1,182265,764431,0.000186541574081694,5.48651688475571e-06,18.6541574081694,0.548651688475571
"20","01005","002","Barbour AL","AL- DOTHAN",27457,"1",2020-04-05,"Barbour","AL",2,0,27457,375802,7.28411698291875e-05,0,7.28411698291875,0
"21","01007","001","Bibb AL","AL- BIRMINGHAM",11111,"0.485",2020-04-05,"Bibb","AL",7,0,22915,2276677,0.000305476761946323,0,30.5476761946323,0
"22","01007","009","Bibb AL","AL- TUSCALOOSA",11804,"0.515",2020-04-05,"Bibb","AL",7,0,22915,266186,0.000305476761946323,0,30.5476761946323,0
"23","01009","001","Blount AL","AL- BIRMINGHAM",57322,"1",2020-04-05,"Blount","AL",10,0,57322,2276677,0.000174453089564216,0,17.4453089564216,0
"24","01011","007","Bullock AL","AL- MONTGOMERY",10914,"1",2020-04-05,"Bullock","AL",2,0,10914,473121,0.000183250870441635,0,18.3250870441635,0
"25","01013","007","Butler AL","AL- MONTGOMERY",20947,"1",2020-04-05,"Butler","AL",1,0,20947,473121,4.77395331073662e-05,0,4.77395331073662,0
"26","01015","001","Calhoun AL","AL- BIRMINGHAM",118572,"1",2020-04-05,"Calhoun","AL",24,0,118572,2276677,0.00020240866309078,0,20.240866309078,0
"27","01017","144","Chambers AL","GA- ATLANTA",2537,"0.074",2020-04-05,"Chambers","AL",90,6,34215,6243061,0.00263042525208242,0.000175361683472161,263.042525208242,17.5361683472161
"28","01017","001","Chambers AL","AL- BIRMINGHAM",31678,"0.926",2020-04-05,"Chambers","AL",90,6,34215,2276677,0.00263042525208242,0.000175361683472161,263.042525208242,17.5361683472161
"29","01019","148","Cherokee AL","GA- ROME",25820,"0.993",2020-04-05,"Cherokee","AL",6,0,25989,289908,0.000230866905229135,0,23.0866905229135,0
"30","01019","001","Cherokee AL","AL- BIRMINGHAM",169,"0.007",2020-04-05,"Cherokee","AL",6,0,25989,2276677,0.000230866905229135,0,23.0866905229135,0
"31","01021","001","Chilton AL","AL- BIRMINGHAM",38545,"0.883",2020-04-05,"Chilton","AL",18,0,43643,2276677,0.000412437275164402,0,41.2437275164402,0
"32","01021","007","Chilton AL","AL- MONTGOMERY",5098,"0.117",2020-04-05,"Chilton","AL",18,0,43643,473121,0.000412437275164402,0,41.2437275164402,0
"33","01023","260","Choctaw AL","MS- MERIDIAN",13859,"1",2020-04-05,"Choctaw","AL",5,0,13859,197862,0.000360776390792987,0,36.0776390792986,0
