"","county","hrr","cntyname","hrrname","pop10","afact","date","county.y","state","cases","deaths","countypop","hrrpop","countycaserate","countydeathrate","countycaserate100k","countydeathrate100k"
"1","29037","268","Cass MO","MO- KANSAS CITY",99478,0.0916934971706991,2020-04-02,"Cass","MO",299,4,1084897,2481936,0.000275602200024518,3.68698595350526e-06,27.5602200024518,0.368698595350526
"2","29047","268","Clay MO","MO- KANSAS CITY",221939,0.204571493883751,2020-04-02,"Clay","MO",299,4,1084897,2481936,0.000275602200024518,3.68698595350526e-06,27.5602200024518,0.368698595350526
"3","29095","268","Jackson MO","MO- KANSAS CITY",674158,0.6214027691108,2020-04-02,"Jackson","MO",299,4,1084897,2481936,0.000275602200024518,3.68698595350526e-06,27.5602200024518,0.368698595350526
"4","29165","268","Platte MO","MO- KANSAS CITY",89322,0.0823322398347493,2020-04-02,"Platte","MO",299,4,1084897,2481936,0.000275602200024518,3.68698595350526e-06,27.5602200024518,0.368698595350526
"5","36005","297","Bronx NY","NY- BRONX",1295933,0.158521335371547,NA,NA,NA,NA,NA,8175133,1398749,NA,NA,NA,NA
"6","36005","303","Bronx NY","NY- NEW YORK",84706,0.0103614216429262,NA,NA,NA,NA,NA,8175133,4981418,NA,NA,NA,NA
"7","36005","308","Bronx NY","NY- WHITE PLAINS",2012,0.000246112203923777,NA,NA,NA,NA,NA,8175133,1135283,NA,NA,NA,NA
"8","36005","301","Bronx NY","NY- EAST LONG ISLAND",2457,0.000300545569105726,NA,NA,NA,NA,NA,8175133,4728414,NA,NA,NA,NA
"9","36047","301","Kings NY","NY- EAST LONG ISLAND",4467,0.000546413128691607,NA,NA,NA,NA,NA,8175133,4728414,NA,NA,NA,NA
"10","36047","303","Kings NY","NY- NEW YORK",2500233,0.305833923435863,NA,NA,NA,NA,NA,8175133,4981418,NA,NA,NA,NA
"11","36061","289","New York NY","NJ- NEWARK",2,2.44644337896399e-07,NA,NA,NA,NA,NA,8175133,1534797,NA,NA,NA,NA
"12","36061","303","New York NY","NY- NEW YORK",1585871,0.19398718039205,NA,NA,NA,NA,NA,8175133,4981418,NA,NA,NA,NA
