"","date","county","state","fips","cases","deaths"
"1",2020-04-05,"Autauga","AL","01001",12,0
"2",2020-04-05,"Baldwin","AL","01003",34,1
"3",2020-04-05,"Barbour","AL","01005",2,0
"4",2020-04-05,"Bibb","AL","01007",7,0
"5",2020-04-05,"Blount","AL","01009",10,0
"6",2020-04-05,"Bullock","AL","01011",2,0
"7",2020-04-05,"Butler","AL","01013",1,0
"8",2020-04-05,"Calhoun","AL","01015",24,0
"9",2020-04-05,"Chambers","AL","01017",90,6
"10",2020-04-05,"Cherokee","AL","01019",6,0
"11",2020-04-05,"Chilton","AL","01021",18,0
"12",2020-04-05,"Choctaw","AL","01023",5,0
"13",2020-04-05,"Clarke","AL","01025",9,0
"14",2020-04-05,"Clay","AL","01027",9,0
"15",2020-04-05,"Cleburne","AL","01029",7,0
"16",2020-04-05,"Coffee","AL","01031",7,0
"17",2020-04-05,"Colbert","AL","01033",6,0
"18",2020-04-05,"Conecuh","AL","01035",2,0
"19",2020-04-05,"Coosa","AL","01037",7,0
"20",2020-04-05,"Covington","AL","01039",4,0
"21",2020-04-05,"Crenshaw","AL","01041",2,0
"22",2020-04-05,"Cullman","AL","01043",15,1
"23",2020-04-05,"Dale","AL","01045",2,0
"24",2020-04-05,"Dallas","AL","01047",7,0
"25",2020-04-05,"DeKalb","AL","01049",14,0
"26",2020-04-05,"Elmore","AL","01051",19,0
"27",2020-04-05,"Escambia","AL","01053",3,0
"28",2020-04-05,"Etowah","AL","01055",36,3
"29",2020-04-05,"Fayette","AL","01057",1,0
"30",2020-04-05,"Franklin","AL","01059",6,0
"31",2020-04-05,"Greene","AL","01063",6,0
"32",2020-04-05,"Hale","AL","01065",3,0
"33",2020-04-05,"Henry","AL","01067",3,0
"34",2020-04-05,"Houston","AL","01069",20,1
"35",2020-04-05,"Jackson","AL","01071",14,1
"36",2020-04-05,"Jefferson","AL","01073",418,9
"37",2020-04-05,"Lamar","AL","01075",3,0
"38",2020-04-05,"Lauderdale","AL","01077",16,2
"39",2020-04-05,"Lawrence","AL","01079",6,0
"40",2020-04-05,"Lee","AL","01081",110,3
"41",2020-04-05,"Limestone","AL","01083",32,0
"42",2020-04-05,"Lowndes","AL","01085",6,0
"43",2020-04-05,"Macon","AL","01087",5,0
"44",2020-04-05,"Madison","AL","01089",137,1
"45",2020-04-05,"Marengo","AL","01091",13,0
"46",2020-04-05,"Marion","AL","01093",19,2
"47",2020-04-05,"Marshall","AL","01095",26,0
"48",2020-04-05,"Mobile","AL","01097",127,6
"49",2020-04-05,"Monroe","AL","01099",5,0
"50",2020-04-05,"Montgomery","AL","01101",71,1
"51",2020-04-05,"Morgan","AL","01103",27,0
"52",2020-04-05,"Perry","AL","01105",1,0
"53",2020-04-05,"Pickens","AL","01107",12,0
"54",2020-04-05,"Pike","AL","01109",14,0
"55",2020-04-05,"Randolph","AL","01111",11,1
"56",2020-04-05,"Russell","AL","01113",10,0
"57",2020-04-05,"Shelby","AL","01117",145,5
"58",2020-04-05,"St. Clair","AL","01115",28,0
"59",2020-04-05,"Sumter","AL","01119",7,0
"60",2020-04-05,"Talladega","AL","01121",20,0
"61",2020-04-05,"Tallapoosa","AL","01123",30,1
"62",2020-04-05,"Tuscaloosa","AL","01125",60,0
"63",2020-04-05,"Walker","AL","01127",49,0
"64",2020-04-05,"Washington","AL","01129",5,1
"65",2020-04-05,"Wilcox","AL","01131",12,0
"66",2020-04-05,"Winston","AL","01133",3,0
"67",2020-04-05,"Anchorage","AK","02020",85,3
"68",2020-04-05,"Fairbanks North Star Borough","AK","02090",53,1
"69",2020-04-05,"Juneau City and Borough","AK","02110",14,0
"70",2020-04-05,"Kenai Peninsula Borough","AK","02122",12,1
"71",2020-04-05,"Ketchikan Gateway Borough","AK","02130",14,0
"72",2020-04-05,"Matanuska-Susitna Borough","AK","02170",4,0
"73",2020-04-05,"Petersburg Borough","AK","02195",1,1
"74",2020-04-05,"Southeast Fairbanks Census Area","AK","02240",1,0
"75",2020-04-05,"Yukon-Koyukuk Census Area","AK","02290",1,0
"76",2020-04-05,"Apache","AZ","04001",23,0
"77",2020-04-05,"Cochise","AZ","04003",8,0
"78",2020-04-05,"Coconino","AZ","04005",155,10
"79",2020-04-05,"Gila","AZ","04007",3,0
"80",2020-04-05,"Graham","AZ","04009",2,0
"81",2020-04-05,"Greenlee","AZ","04011",1,0
"82",2020-04-05,"La Paz","AZ","04012",3,0
"83",2020-04-05,"Maricopa","AZ","04013",1326,31
"84",2020-04-05,"Mohave","AZ","04015",16,1
"85",2020-04-05,"Navajo","AZ","04017",195,1
"86",2020-04-05,"Pima","AZ","04019",372,12
"87",2020-04-05,"Pinal","AZ","04021",103,0
"88",2020-04-05,"Santa Cruz","AZ","04023",4,0
"89",2020-04-05,"Unknown","AZ",NA,0,9
"90",2020-04-05,"Yavapai","AZ","04025",45,0
"91",2020-04-05,"Yuma","AZ","04027",13,0
"92",2020-04-05,"Arkansas","AR","05001",1,0
"93",2020-04-05,"Ashley","AR","05003",4,0
"94",2020-04-05,"Baxter","AR","05005",3,0
"95",2020-04-05,"Benton","AR","05007",42,0
"96",2020-04-05,"Boone","AR","05009",3,0
"97",2020-04-05,"Bradley","AR","05011",1,0
"98",2020-04-05,"Carroll","AR","05015",1,0
"99",2020-04-05,"Chicot","AR","05017",3,0
"100",2020-04-05,"Clark","AR","05019",27,0
"101",2020-04-05,"Cleburne","AR","05023",65,4
"102",2020-04-05,"Cleveland","AR","05025",7,0
"103",2020-04-05,"Columbia","AR","05027",3,0
"104",2020-04-05,"Conway","AR","05029",4,1
"105",2020-04-05,"Craighead","AR","05031",20,0
"106",2020-04-05,"Crawford","AR","05033",3,0
"107",2020-04-05,"Crittenden","AR","05035",53,0
"108",2020-04-05,"Cross","AR","05037",5,0
"109",2020-04-05,"Dallas","AR","05039",1,0
"110",2020-04-05,"Desha","AR","05041",5,0
"111",2020-04-05,"Drew","AR","05043",5,0
"112",2020-04-05,"Faulkner","AR","05045",47,1
"113",2020-04-05,"Garland","AR","05051",41,0
"114",2020-04-05,"Grant","AR","05053",4,0
"115",2020-04-05,"Greene","AR","05055",4,0
"116",2020-04-05,"Hempstead","AR","05057",3,0
"117",2020-04-05,"Hot Spring","AR","05059",7,0
"118",2020-04-05,"Howard","AR","05061",5,0
"119",2020-04-05,"Independence","AR","05063",5,0
"120",2020-04-05,"Jefferson","AR","05069",62,0
"121",2020-04-05,"Johnson","AR","05071",8,0
"122",2020-04-05,"Lafayette","AR","05073",2,0
"123",2020-04-05,"Lawrence","AR","05075",3,1
"124",2020-04-05,"Lee","AR","05077",2,0
"125",2020-04-05,"Lincoln","AR","05079",7,0
"126",2020-04-05,"Lonoke","AR","05085",17,0
